Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Monthly,salary,age,python_yn,R_yn,spark,aws,excel
Data Engineer,₹59K - ₹64K,"About phData

We build next-generation strategic platforms helping customers to save money and unlock real business value for our customers and the community. If you are inspired by innovation, hard work, and a passion for data, we want to hear from you.
Our Commitment – you will be working in a fast-moving environment with the brightest and most experienced minds in technology. We're committed to constant learning and innovation.
Our Work – you'll be helping companies answer questions and create products that, until now, were too big, too expensive, and too complex to accomplish.
Our Technology – we focus on building and deploying disruptive big data technologies. If you have experience in or passion for Hadoop and its supporting technologies, we want to hear from you!
In addition to the phenomenal growth and learning opportunity, we offer competitive compensation and excellent perks including base salary, annual bonus, and extensive training - in addition to generous PTO, flexible hours and comprehensive Insurance cover.

Passionate about Big Data, Data Science, and Machine Learning Algorithms? Be part of a team of industry pioneering experts that operate some of the largest analytics and data science infrastructure systems at phData. Our customers apply these technologies on terabytes of data a day on petabyte-scale infrastructure.

Job Information

Technical Responsibilities
Hands-on Engineering of Data Processing applications
Experience with Big Data technologies, assisting customers in building software solutions on-prem or cloud.
Very strong understanding of SQL alongside traditional/conventional data warehousing design patterns.
Hands-on experience in developing Big Data applications using Hadoop technologies such as Spark (Scala or PySpark), Map Reduce (Java), YARN, HDFS, Hive, Impala, Sqoop, Oozie, HBase, Kudu.
Good understanding of UNIX shell scripting.
Develop analytical functionality and complex transformation that will be finally deployed in production data platforms.
Good understanding of Big data design patterns
Hands-on experience troubleshooting, optimizing, and enhancing the big data pipeline and bring improvements.
Experience & good proficiency with at least one programming language (Java, Scala, Python)
Extensive experience with at least one major Hadoop platform (Cloudera, Hortonworks, MapR)
Worked and deployed at least one data engineering application using cloud-native data platform and services (example EMR or Redshift in AWS or Data factory in Azure or BigQuery in GCP)
Strong troubleshooting and performance tuning skills.
Very well versed with continuous integration and deployment procedure considering the bigdata stack on-prem or cloud environment.
Ability to analyze business requirement user stories and translate them into system requirement specifications.
Experience working under the agile delivery methodology.
Behavioral Requirement
Demonstrated ability to work independently
Good communication skills and documentation skills.
Good & Collaborative Team Player.
Good organizational and time management skills
An ability to work to deadlines
A good eye for detail
Must be ready to learn and adapt to new technologies.


Qualifications Requirements
BE/BTech in computer science Or MCA with sound industry experience (2-4 years)
A minimum of 2 years' experience in hands-on development
Experience in Java, Scala or Python (Production level coding)
Experience in a cloud-based environment with PaaS & IaaS
Work iteratively in a team with continuous collaboration",2.9,"phData
2.9",Bengaluru,"Minneapolis, MN",51 to 200 employees,2014,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,59.0,6,1,0,1,1,1
Data Scientist,"₹2,353K - ₹2,511K","Position: Data Scientist

Location: Pune, India

NICE Actimize is comprised of talented, creative and dedicated individuals with a passion for delivering innovative solutions to the market. At NICE Actimize, we recognize that every employee’s contributions are integral to our company’s growth and success. To find and acquire the best and brightest talent around the globe, we offer a challenging work environment, competitive compensation and benefits, and rewarding career opportunities. Come share, grow and learn with us – you’ll be challenged, you’ll have fun and you’ll be part of a fast growing, highly respected organization.

NICE Actimize is currently seeking an experienced Data Scientist to join our dynamic and growing Fraud & AML Analytics Services team.

Responsibilities
Perform analysis to support the deployment of fraud prevention analytical models
Analyze fraud cases obtained from clients
Research data patterns in order to find patterns predictive of fraud
Improve the quality and actual implementation of computational algorithms and tools
Optimize the detection performance of NICE Actimize Fraud products and improve customers’ experience with our Fraud solutions
Define product requirements for analytics and provide feedback to the product team on ways in which product may be improved
Develop and enhance our solution-specific risk scores
Measure the quality of the analytical performance of Fraud Products
Develop tools to support model tuning, performance tracking and automation
Develop custom detection logic for specific clients
Help maintain and improve model development methodologies/practices.
Experience: 3 to 6 Years

Qualifications:
Advanced degree in a quantitative area (statistics, mathematics, physics, computer science, engineering)
Strong general analytical skills, Experience with statistical model development. Deep and diverse experience with multiple statistical procedures and data mining algorithms.
Strong experience with using SQL and EXCEL.
Strong programming skills in Python and ability to rapidly learn new programming tools.
Exposure to other programming languages: R, SAS, Scala, Java, Python, Matlab, SPSS, VBA, including procedures, macros, and scripting.
Experience of building and deploying classification and regression machine learning models at an enterprise level.
Good oral and written communications skills, and ability to interact with engineers, software developers, project managers, business analysts, product managers and with clients.
Ability to work in multi-disciplinary agile teams.
Strong commitment to quality
Customer facing experience – a plus
Innovative aptitude.
Additional Desired Qualifications:
Experience in development of risk management models, particularly in the fraud, AML, or financial trade compliance areas.
Knowledge of national and international financial systems and data standards.
Experience with Business Intelligence platforms, methodologies (e.g. OLAP), and tools.",3.9,"NICE Actimize
3.9",Pune,"Hoboken, NJ",501 to 1000 employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"SAS, Feedzai",0,2353.0,21,1,0,0,0,1
Data Scientist,"₹1,471,718","Date: Jul 9, 2020

As the tech firm that created the mobile world, and with more than 54,000 patents to our name, we’ve made it our business to make a mark. When joining our team at Ericsson you are empowered to learn, lead and perform at your best, shaping the future of technology. This is a place where you're welcomed as your own perfectly unique self, and celebrated for the skills, talent, and perspective you bring to the team. Are you in?

Come, and be where it begins.

.

Our Exciting Opportunity :

As Data Scientist, who will be responsible for developing scientific methods, processes, and systems to extract knowledge or insights to drive the future of applied analytics and Provide thought leadership, perform Sophisticated Statistical Analytics, and build insights into data to deliver to the business measurable insights, identify trends, and measure performance which address business problems!

You will:
Be building advanced statistical models, algorithms and trend analysis in order to discover predictive insights related to network and business objectives
Translate data algorithms and complex ideas into impactful management insights and solutions
Translate operator business objectives into business intelligence trough regressive data analytics
Working on Big Data tools and technologies to sustain our continued operational transformation objectives and market leadership
Research and develop approaches on how to improve business processes and customers’ experience by using our vast amounts of data.
To be successful in the role you must have:
Good knowledge of statistical analysis, theory of probabilities, design of experiments and machine learning.
Acuity for business flow understanding and expertise in data preparation-data mining and pre-processing.
Solid Understanding of SQL, PL/SQL, SQL Server, SPSS, SPAS
Good command of programming language and software environment for statistical analysis, graphics representation and reporting i.e. R, Python;
Knowledge of Business Objects, Tableau, Cognos
Excellent documentation skills
Education: BE/B.Tech.

Minimum years of relevant experience: 5 years

What´s in it for you?
Here at Ericsson, our culture is built on over a century of fearless decisions. With us, you will no longer be dreaming of what the future holds – you will be redefining it. You won’t develop for the status quo, but will build what replaces it. Joining us is a way to move your career in any direction you want; with hundreds of career opportunities in locations all over the world, in a place where co-creation and collaboration are embedded into the walls. You will find yourself in a speak-up environment where empathy and humanness serve as cornerstones for how we work, and where work-life balance is a priority. Welcome to an inclusive, global company where your opportunity to make an impact is endless.

What happens once you apply?
To prepare yourself for next steps, please explore here: https://www.ericsson.com/en/careers/job-opportunities/hiring-process.

Do you believe that an organization fostering an environment of cooperation and collaboration to execute with speed creates better business value? Do you value a culture of humanness, where fact based decisions are important and our people are encouraged to speak up? Do you believe that diverse, inclusive teams drive performance and innovation? At Ericsson, we do.

We provide equal employment opportunities without regard to race, color, gender, sexual orientation, transgender status, gender identity and/or expression, marital status, pregnancy, parental status, religion, political opinion, nationality, ethnic background, social origin, social status, indigenous status, disability, age, union membership or employee representation and any other characteristic protected by local law or Ericsson’s Code of Business Ethics.",3.9,"Ericsson-Worldwide
3.9",Noida,"Stockholm, Sweden",10000+ employees,1876,Company - Public,Telecommunications Services,Telecommunications,₹500+ billion (INR),"Huawei Technologies, IBM, Cisco Systems",0,1471718.0,144,1,0,0,0,1
Data Scientist,"₹1,532,392","At Amazon, we strive to be most customer-centric company on the earth. To get there, we need exceptionally talented, bright, dynamic and driven people to develop the next-generation technologies.
Are you champion of innovating on behalf of the customer by turning data insights into action? Do you want to be part of Amazons strategic and highly impactful finance and payroll technology projects? Amazons Finance Automation Payroll Tech team has an opportunity for a seasoned Data Scientist whose experience illustrates a clear ability to create world class machine learning systems to meet long-term Payroll needs.

At Finance Automation, we are passionate about building systems and services that deliver a seamless and transparent finance experience for Amazon partners. We build, operate, and scale systems that are responsible for billions of dollars in transactions, and are central to the success of worldwide finance. We ""think globally, act locally"" to revolutionize a worldwide employee and customer experience and fulfill our promise to pay accurately, on-time, with lowest cost to Amazon.

As a Data Scientist at Finance Automation, you are self-driven leader with extensive experience in applying statistics and data science concepts to bring tangible benefits for global finance operations. Finance and Payroll domain knowledge is a plus but not required.

· Work with finance and payroll stakeholders to understand the organization goals, objectives, and pain points. Identify key areas to drive Machine Learning initiatives, define needle-moving business questions and success criteria.
· Collect and analyze finance, HR, and payroll data across multiple isolated systems. Derive actionable insights from large volumes of heterogeneous data.
· Create reliable and maintainable code to build regression, classification, clustering, and anomaly detection systems. Work closely with software engineers to develop data ingestion and visualization, and productionize your models.
· Partner with finance analysts, and payroll managers to deploy and test machine learning systems with your statistical models at the core. Automate feedback loops, tune, and improve the models in production.
· Train non-tech stakeholders and partners to effectively use your machine learning systems. Set the right expectations on model limitations and prove business value.
· Create and maintain business and technical artifacts such as requirements documentation, use cases, performance evaluation, and model metrics.
· Learn and utilize AWS technologies and Amazon machine learning systems to effectively work with terabytes of data.

Being part of Amazon Finance Automation gives you the opportunity to work in a rapidly growing organization with many high performing global technology teams. Come join us in making history!




Basic Qualifications

· Bachelor's or Masters degree in Statistics, Applied Math, Operations Research, Economics, Engineering or a related quantitative field with 5 years of working experience as a Data Scientist.
· In-depth knowledge on supervised and unsupervised machine learning algorithms including classification, clustering, and regression.
· Experience building productions systems with statistical analysis, data modeling, regression modeling and forecasting, time series analysis, and deep learning neural networks.
· Expertise in coding using one or more programming languages such as R, Python, MATLAB, and Spark to build machine learning models. Skilled in manipulating and processing data using libraries such as Scikit-learn, Pandas, and NumPy. Demonstrated experience in SQL and/or NoSQL data modeling.
· Experience processing, filtering, and presenting large quantities of data. Ability to design for performance, scalability, and availability.
· Excellent communication, analytical and problem-solving skills. Ability to distill informal customer requirements into problem definitions, dealing with ambiguity and competing objectives.
· Obsession with quality, operational excellence, and customer experience. Ability to convey rigorous mathematical concepts and considerations to non-experts.

Preferred Qualifications

· Passion to dive deep to resolve problems at their root, looking for failure patterns amenable to long-term solutions via simplification and automation.
· Experience in AWS is a huge plus. Functional knowledge of AWS platforms such as Sagemaker, S3, Glue, Dynamodb, and RedShift.
· Exposure to finance and payments domain is a plus.
· Deep understanding of data, application, server, and network security.
· Experience with agile or scrum methodology.",4.3,"Amazon
4.3",Hyderabad,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Walmart",0,1532392.0,26,1,0,1,1,1
Data Scientist,"₹1,206,892","Introduction
• The role will involve running workshops to define the problem statement, identifying the data that is required, cleaning up the data, running feature engineering techniques and building / testing ML/DL models. A combination of one of more of IBM AI technologies from the Watson portfolio, Open Source and 3rd Party technologies will be used to be deliver the required outcomes.

Your Role and Responsibilities
The responsibility of a Data Scientists will include working with Sales, Tech Sales & IBM Clients to define an approach to Machine/Deep Learning problems, building the models and delivering them.
Required Technical and Professional Expertise
Python - 3-5 Years
Machine learning Model (Regression, Classification, Unsupervised techniques, ensemble modeling) - 2-3 Years (Mtech) / 0-1 Years (PhD)
Deep Learning models (Image, NLP, Structured data) - 1-2 Years (Mtech) / 0-1 Years (PhD)
Tech Sales, Sellers, Architects
Cloud native technologies
Agile development
Preferred Technical and Professional Expertise
Specialisation in any of the following fields - NLP, NLU, NLG, Computer Vision, Facial Recognition - 0-2 Years
Good communication
Active listener
About Business Unit
IBM has a global presence, operating in more than 175 countries with a broad-based geographic distribution of revenue. The companys Global Markets organization is a strategic sales business unit that manages IBMs global footprint, working closely with dedicated country-based operating units to serve clients locally. These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable clients growth and innovation. By complementing local expertise with global experience and digital capabilities, IBM builds deep and broad-based client relationships. This local management focus fosters speed in supporting clients, addressing new markets and making investments in emerging opportunities. Additionally, the Global Markets organization serves clients with expertise in their industry as well as through the products and services that IBM and partners supply. IBM is also expanding its reach to new and existing clients through digital marketplaces.

Your Life @ IBM
What matters to you when youre looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBMs greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",3.9,"IBM
3.9",Gurgaon,"Armonk, NY",10000+ employees,1911,Company - Public,IT Services,Information Technology,₹500+ billion (INR),"Amazon, Accenture, Microsoft",0,1206892.0,109,1,0,0,0,0
Data Scientist,"₹965,280","1. 8+ years of IT experience and at least 2+ years of data science expereince
2. Should have experience in building Machine Learning/Deep Learning Models.
3. Should be Strong in python
4. Should have experience in using Pandas/Numpy/ScikitLearn, Tensorflow and keras
5. Should have experience in feature engineering, hyper parameter tuning, model evaluation etc..
6. Should have experience in building models that are explainable
7. Should have solid experience in using regressive/auto regressive models for forecasting time series data
8. Should have solid experience in build anomaly detection models on time series data using various ML/DL techniques
9. Strong experience in analyzing time series data and finding trends
10. Should have knowledge in AIOps and in building models to reduce noisy alerts, automated root cause detection, self healing etc..
11. Systematic problem-solving approach coupled with a strong sense of ownership and drive.
12. Should have passion for playing with data and finding insights in data

Nice to Have
1. Nice to have experience with Azure Data Lake (ADLS) and Azure Machine Learning.
2. Nice to have exposure in App Dynamics or Splunk tools
3. Nice to have working experience in Reporting tools (Power BI/Grafana)
4. Ability to work comfortably in an agile environment, alongside development partners to ensure that platforms are designed for the utmost resilience, accuracy, stability and efficiency

B.E / B. Tech / MCA / Masters in computer science or any other equivalent experience is preferred.",3.6,"PK
3.6",Hyderabad,"Portland, OR",1001 to 5000 employees,2004,Company - Private,IT Services,Information Technology,₹10 to ₹50 billion (INR),-1,0,965280.0,16,1,0,0,0,0
Data Scientist,₹226K - ₹244K,"Provide analytical insights into emerging problems, trends and portfolios
Work closely with business partners and stakeholders to determine how to design analysis and measurement approaches that will significantly improve our ability to understand and address emerging business issues
Bringing data to life and making it actionable and relevant to stakeholders through exploratory analysis of internal and external data sources using advanced and innovative analytical techniques, algorithms, and tools
Identifying present or future gaps in the teams existing reporting and tools suite and managing portfolio monitoring, dashboards and reporting
Providing regular updates to leadership, product and other stakeholders that will simplify and clarify complex concepts and the results of analyses effectively with emphasis on the actionable outcomes and impact to business
Experience with standard statistical techniques and tools a plus
Required Qualifications
Bachelor's Degree in a quantitative discipline (Economics, Engineering, Computer Science, Math, Statistics)
1-2 years experience in analytics or management consulting
Proficiency using SQL and querying relational databases
Experience in at least one statistical programming language (SAS, R, Python)
Experience in at least one data visualization tool (Tableau, Qlikview)
Experience with project management
Preferred Skills:
Strong communication skills
Quick learning
Out-of-box Problem Solving",3.6,"PK
3.6",Hyderabad,"San Jose, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Square, Amazon, Apple",0,226.0,22,1,0,0,0,0
Data Science Expert,"₹691,471","About Us

upGrad is an online education platform building the careers of tomorrow by offering the most industry-relevant programs in an immersive learning experience. Our mission is to create a new digital-first learning experience to deliver tangible career impact to individuals at scale. upGrad currently offers programs in Data Science, Machine Learning, Product Management, Digital Marketing, and Entrepreneurship, etc. upGrad is looking for people passionate about management and education to help design learning programs for working professionals to stay sharp and stay relevant and help build the careers of tomorrow.
upGrad was awarded the Best Tech for Education by IAMAI for 2018-19
upGrad was also ranked as one of the LinkedIn Top Startups 2018: The 25 most sought-after startups in India
upGrad was earlier selected as one of the top ten most innovative companies in India by FastCompany.
We were also covered by the Financial Times along with other disruptors in Ed-Tech
upGrad is the official education partner for Government of India - Startup India program
Our program with IIIT B has been ranked #1 program in the country in the domain of Artificial Intelligence and Machine Learning

Role and Responsibilities

upGrad is looking for people passionate about Data Science & Machine Learning and education to help design learning programs for working professionals to stay sharp and stay relevant and help build the careers of tomorrow. The job will include the following responsibilities:
Delivering online & offline live sessions and providing guidance to students.
Preparing content for live sessions and aligning it with the recorded modules.
Plan and execute student competency assessment and engagement.
Be the interface between faculty (both academic and industry leaders) and student, to make the student’s online learning experience more engaging.
Vetting and onboarding external/freelance subject matter experts.
What we are looking for

Graduates/Post Graduates with:
Work Experience/Training experience of 2 to 5 years in Data science & machine learning roles.
Machine Learning Concepts - SVM, Recommendation systems, Random Forests, Logistic Regression, Bagging and Boosting, Linear and Nonlinear models, Bayesian theory, etc
NLP, NN and Computer Vision.
Advanced skills in SQL/MySQL.
Advanced programming skills using Python
Experience in the development of ML models at scale and knowledge of its application across sectors.
Smart, curious people who enjoy learning and upskilling in the latest fields of technology.
Ability to quickly learn various concepts, techniques & tools.",3.2,"PayPal
3.6",Bengaluru,"Mumbai, India",501 to 1000 employees,2015,Company - Private,Education Training Services,Education,₹1 to ₹5 billion (INR),"Udacity, General Assembly, Springboard",0,691471.0,5,1,0,0,0,0
Data Scientist,"₹1,288,781","Position Description The data scientist will work in teams addressing statistical, Machine Learning and data understanding problems. In this role they will contribute to the development and deployment of Machine Learning, Operational Research, Semantic Analysis and statistical methods for finding structure in large data sets. Key responsibilities • Analysis of huge data set • Application of statistical methods for problem solving /analysis • Predictive modelling and supervise learning • Operational Research • Development of Unit Tests Other Responsibilities Analytical skills for problem solvingCommunication - Communicates clearly and concisely on a routine basis (verbally and in writing)Collaboration & Team Work - Works collaboratively with other members of the team by sharing ideas and informationExcellence in Execution - Works hard to meets the goals/ targets given, and is motivated by opportunities for reward and recognitionInnovation - Explores alternative approaches to achieving objectivesLearning & Applying - Focusses on learning and development as per the feedback provided for enhancing one's own performance",3.3,"UnitedHealth Group
3.3",Bengaluru,"Minnetonka, MN",10000+ employees,1977,Company - Public,Healthcare Services & Hospitals,Healthcare,₹500+ billion (INR),"Aetna, Humana, WellPoint",0,1288781.0,43,0,0,0,0,1
Data Scientist,"₹24,995/mo","When everything's connected, how we connect is everything… and we'd like to connect with you too! We are looking for you to help us deliver exceptional customer experiences as a Data Scientist.
At TTEC Digital, we combine human insight and the speed of technology to transform our clients’ interactions with their customers. Advanced analytics of the customer experience and customer interactions is our expertise.
Check out our website below to learn more about what we do and how we help our clients.
What you’ll be doing
This person will be a part of our Global Data Science Center focused on helping our clients find and seize opportunities in their markets.

Support the development of consulting products such as proprietary customer experience scores and marketing optimization solutions
Maintain our stellar reputation with our clients and drive >80 client NPS
Leverage a mixture of data science methods such as SVM, neural nets, decision trees, and regression models to deliver proprietary uplift model solutions
Support the introduction and advancement of decision science throughout our contact center engagement
Recommend and introduce new methods where relevant
Resource Planning
Recommend required resources to managers
Align required resources to client schedules
Mentor data engineers and architects on requirements
Develop requirements and technical specifications documents for use by engineers

Delivery
Recommend project timelines to managers
Drive on-time delivery and identify and escalate risks to managers
Support attainment of annual goals for client satisfaction
Deliver your own solutions while collaborating on other projects

What you’ll bring to the role
Masters in Statistics, Economics, IE/OR, Computer Science, Applied Mathematics or related field is required; PhD is a plus
1-5 years' experience delivering advanced analytics solutions since graduate program
Ability to translate client requests into approach statements and project plans
Ability to work in a highly collaborative, team-oriented environment
Ability to identify effective, relevant statistical and/or mathematical methods to solve complex business problems
Expert at data wrangling both structured and unstructured data
Experience delivering solutions using regression modeling or machine learning techniques; experience with both is desired
Expert in developing and implementing predictive analytics solutions in one or more of the following languages: R or Python experience with SAS is desired
Experience delivering solutions using large datasets (multi-Gb or larger)
Experience in MS Office suite of products, especially Excel and Powerpoint
Ability to work within any modern big data environment (AWS, MS Azure, SAP Hana, etc.) is desired
Experience with text analytic or speech analytic is desired.
Experience with one or more modern social listening tools (Crimson Hexagon, TheySay, etc.) is desired
What skills you’ll need:
Excellent analytic and data-driven thinking skills
Strong communication skills and an ability to work successfully in a distributed workforce
Creative problem solving and an understanding of analytics workflows
Strong background in consulting a plus

About TTEC
We help global brands provide a great experience to their customers, build customer loyalty, and grow their business. We were founded on one guiding principle: customer experiences that are simple, inspired, and more human deliver lasting value for everyone. Your role brings that principle to life.",3.4,"TTEC
3.4",Hyderabad,"Englewood, CO",10000+ employees,1982,Company - Public,Staffing & Outsourcing,Business Services,₹100 to ₹500 billion (INR),"Teleperformance, TaskUs, Convergys",1,24995.0,38,1,0,0,1,1
